product_id,coast_layer_observed,anchorage_layer_observed,fairway_layer_observed
S1A_IW_GRDH_1SDV_20250607T122314_20250607T122344_059540_076452_AEAB,1,0,1
S1A_IW_GRDH_1SDV_20250612T002645_20250612T002710_059606_07667E_E24C,1,0,1
S1A_IW_GRDH_1SDV_20250718T002643_20250718T002708_060131_0778A6_1D3D,1,0,1
S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,1,1,0
S1A_IW_GRDH_1SDV_20250104T021547_20250104T021611_057288_070C5C_2B74,1,1,0
S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,1,1,0
S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,1,1,0
S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,1,1,0
S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,1,1,0
S1A_IW_GRDH_1SDV_20250302T142506_20250302T142531_058127_072DF2_C32F,1,1,0
S1A_IW_GRDH_1SDV_20250314T142506_20250314T142531_058302_073505_F8D8,1,1,0
S1A_IW_GRDH_1SDV_20250317T021545_20250317T021609_058338_073664_181C,1,1,0
S1A_IW_GRDH_1SDV_20250326T142506_20250326T142531_058477_073BE1_A5C1,1,1,0
S1A_IW_GRDH_1SDV_20250407T142506_20250407T142531_058652_07430E_28DD,1,1,0
S1A_IW_GRDH_1SDV_20250410T021545_20250410T021609_058688_074483_D3BC,1,1,0
S1A_IW_GRDH_1SDV_20250419T142506_20250419T142531_058827_074A34_03DC,1,1,0
S1A_IW_GRDH_1SDV_20250501T142507_20250501T142532_059002_075153_F22D,1,1,0
S1A_IW_GRDH_1SDV_20250513T142506_20250513T142531_059177_0757CB_F25B,1,1,0
S1A_IW_GRDH_1SDV_20250525T142506_20250525T142531_059352_075DD8_6C78,1,1,0
S1A_IW_GRDH_1SDV_20250606T142505_20250606T142530_059527_0763E5_967B,1,1,0
S1A_IW_GRDH_1SDV_20250609T021544_20250609T021608_059563_076513_C2E0,1,1,0
S1A_IW_GRDH_1SDV_20250618T142504_20250618T142529_059702_0769DE_8658,1,1,0
S1A_IW_GRDH_1SDV_20250621T021544_20250621T021607_059738_076B1D_2523,1,1,0
S1A_IW_GRDH_1SDV_20250630T142504_20250630T142529_059877_076FF7_ED71,1,1,0
S1A_IW_GRDH_1SDV_20250715T021542_20250715T021606_060088_077739_3740,1,1,0
S1A_IW_GRDH_1SDV_20250724T142503_20250724T142528_060227_077C09_9CBA,1,1,0
S1A_IW_GRDH_1SDV_20250805T142503_20250805T142528_060402_078207_9714,1,1,0
S1A_IW_GRDH_1SDV_20250817T142503_20250817T142528_060577_0788DF_80F4,1,1,0
S1A_IW_GRDH_1SDV_20250829T142503_20250829T142528_060752_078FC4_CDEA,1,1,0
S1A_IW_GRDH_1SDV_20250901T021542_20250901T021605_060788_07912C_0086,1,1,0
S1A_IW_GRDH_1SDV_20250910T142503_20250910T142528_060927_0796BD_18EC,1,1,0
S1A_IW_GRDH_1SDV_20250922T142504_20250922T142529_061102_079DC2_7207,1,1,0
S1A_IW_GRDH_1SDV_20250925T021543_20250925T021606_061138_079F34_4E55,1,1,0
S1A_IW_GRDH_1SDV_20251004T142503_20251004T142528_061277_07A4D4_B04D,1,1,0
S1A_IW_GRDH_1SDV_20251016T142504_20251016T142529_061452_07ABDD_BF78,1,1,0
S1A_IW_GRDH_1SDV_20251028T142503_20251028T142528_061627_07B2E5_AF8B,1,1,0
S1A_IW_GRDH_1SDV_20251109T142503_20251109T142528_061802_07B9BD_1AE4,1,1,0
S1A_IW_GRDH_1SDV_20251121T142503_20251121T142528_061977_07C08B_B3BC,1,1,0
S1A_IW_GRDH_1SDV_20251203T142501_20251203T142526_062152_07C75E_D213,1,1,0
S1A_IW_GRDH_1SDV_20251206T021540_20251206T021603_062188_07C8BF_E0FB,1,1,0
S1A_IW_GRDH_1SDV_20251215T142500_20251215T142525_062327_07CE36_F264,1,1,0
S1A_IW_GRDH_1SDV_20251227T142459_20251227T142524_062502_07D505_24C1,1,1,0
S1C_IW_GRDH_1SDV_20250814T021436_20250814T021501_003662_00752F_F0F2,1,1,0
S1C_IW_GRDH_1SDV_20251013T021438_20251013T021503_004537_008FA6_7629,1,1,0
S1C_IW_GRDH_1SDV_20251025T021438_20251025T021503_004712_0094F6_EC36,1,1,0
