fold,pseudo_target,n_eval,enabled_dims,BA_FULL,BA_VGM,dK_full_vs_vgm,drop_D0,drop_D1,drop_D2,drop_D3,single_D0,single_D1,single_D2,single_D3,BA_V,BA_VG,mean_replace_BA_D0,mean_replace_BA_D1,mean_replace_BA_D2,mean_replace_BA_D3,permute_D0_mean_dBA,permute_D0_pct_perturbed,permute_D1_mean_dBA,permute_D1_pct_perturbed,permute_D2_mean_dBA,permute_D2_pct_perturbed,permute_D3_mean_dBA,permute_D3_pct_perturbed,permute_joint_mean_dBA
Rotterdam,Qingdao,1588,"[0, 1, 2, 3]",0.35147588852362766,0.327166629903659,0.024309258619968632,0.014510591436159848,0.013333333333333253,0.026840904189588843,-0.010940963529729786,0.0,0.0,-0.004509596511641567,-0.002531645569620211,0.3182995919989482,0.33433422739874524,0.3355478576459813,0.35147588852362766,0.3354613538790713,0.35161516428964446,-0.013008003949084995,0.643843055894557,0.0,0.0,9.737851055972857e-05,0.012958668944756327,-0.0016206079480802383,0.7751322105605728,-0.012123226321548112
Shanghai,Qingdao,1451,"[0, 1, 3]",0.648096564531105,0.680129990714949,-0.03203342618384397,-0.01114206128133699,-0.0062674094707519945,,-0.010793871866295213,-0.016364902506963874,-0.006615598885793883,,-0.01671309192200554,0.5606081708449396,0.5841922005571031,0.6581940575673166,0.648096564531105,,0.6456592386258124,0.002768105849582092,0.6439956065413718,0.0,0.0,,,0.008833565459609949,0.7746989667236189,0.010661559888579314
Fujairah,Shanghai,1094,"[0, 1, 2, 3]",0.36688559357058675,0.36906765613934944,-0.0021820625687626882,0.0033953069548174897,0.001153133110863902,0.001217465029556275,-0.0010967127901017615,0.0012206600330700312,0.0,-0.00649690975346523,-0.003628899835796451,0.34372077221244374,0.3367113798467815,0.34956906588825987,0.36688559357058675,0.36688559357058675,0.36561777434098414,-0.008723364315083321,0.38332082692379843,0.0,0.0,0.0,0.0,-0.0015843209335482666,0.8515045210670469,-0.011677020738507977
JebelAli,Shanghai,865,"[0, 1, 2, 3]",0.5582546306464602,0.561128193864851,-0.002873563218390829,0.0007662835249041544,0.0,0.0,-0.007088122605364067,-0.004406130268199249,-0.0007662835249041544,-0.0007662835249041544,-0.0036398467432949833,0.4912365473314298,0.4839568538448398,0.5553652048710253,0.5582546306464602,0.5582546306464602,0.5653427532518243,-0.0032482246138077265,0.38332082692379843,0.0,0.0,0.0,0.0,0.0017417087634526928,0.8515045210670469,-0.0001264733875100399
PortSaid,Shanghai,1094,"[0, 1, 2, 3]",0.32267201821320696,0.3187133784952309,0.0039586397179760535,-0.011588247380316385,0.0009195402298851074,0.003970019598495689,0.0002446994824230053,0.00212723131521797,0.008696145044387593,0.007319773293076981,0.0014449917898193831,0.3394316739895337,0.3469498411438855,0.32490205981572895,0.32267201821320696,0.32267201821320696,0.32541582447791045,-0.0038451246506835705,0.38332082692379843,0.0,0.0,0.0,0.0,0.0024264344536763156,0.8515045210670469,0.0005687170357114857
