fold,pseudo_target,n_eval,enabled_dims,D_plus_n,M0_BA_vgm,M0_BA_full,M0_dK,M2_BA_vgm,M2_BA_full,M2_dK
Rotterdam,Qingdao,1588,"[0, 1, 2, 3]",4017,0.3270159562386277,0.35266631844308527,0.025650362204457544,0.2988869555282407,0.30482874041735986,0.005941784889119173
Shanghai,Qingdao,1451,"[0, 1, 3]",813,0.67838904363974,0.6655060352831941,-0.012883008356545878,0.6797818012999071,0.672121634168988,-0.007660167130919104
PortSaid,Shanghai,1094,"[0, 1, 2, 3]",3805,0.32406928737926377,0.3369836029180807,0.012914315538816945,0.36099244164057864,0.3506449824780879,-0.010347459162490746
