fold,held_out_port,held_out_port_role,n_ref,n_adapt,stat_shift_norm,stat_energy_dist,stat_entropy_before,stat_entropy_after,stat_delta_entropy,stat_conf_before,stat_conf_after,stat_delta_conf,stat_bias_shift_max_abs,cross_acc,mean_acc,cross_ba,mean_ba,delta_acc,delta_ba,oracle_acc,oracle_ba,class_support
Rotterdam,Jebel Ali,fit,2569,349,9.666308738861067,3.2166087452758454,0.6712876688707821,0.8334163401354383,0.16212867126465624,0.746882259514355,0.6754019305622986,-0.07148032895205647,5.5865202558722435,0.6217765042979942,0.3495702005730659,0.6614156490275893,0.5808005427408414,-0.2722063037249283,-0.08061510628674795,0.6217765042979942,0.6614156490275893,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
Rotterdam,Qingdao,other,2918,2514,13.491910132337484,5.811671597115186,0.4341553448497589,0.8799087652748787,0.44575342042511984,0.8504056427556069,0.6530599369547668,-0.1973457058008401,5.851454605958949,0.21439936356404138,0.29594272076372313,0.30427082348678197,0.3276939992717402,0.08154335719968175,0.023423175784958228,0.29594272076372313,0.3276939992717402,"{""container_ship"": 142, ""dredger"": 64, ""fishing_vessel"": 2235, ""product_chemical_tanker"": 38, ""tug_towing"": 35}"
Rotterdam,Shanghai,fit,845,2073,5.721977222566462,1.1819987704780637,0.6191195133794573,0.567753502725879,-0.051366010653578265,0.7540470631577544,0.7685576045270182,0.014510541369263774,3.4465109233532045,0.4611673902556681,0.3227206946454414,0.5213571318284888,0.43434575505070716,-0.1384466956102267,-0.08701137677778159,0.4611673902556681,0.5213571318284888,"{""container_ship"": 895, ""dredger"": 225, ""fishing_vessel"": 472, ""product_chemical_tanker"": 222, ""tug_towing"": 259}"
Rotterdam,Singapore,fit,2657,261,6.085684681146705,1.2493182572056014,0.9585880799247124,0.9787679295347815,0.020179849610069134,0.6262610374688078,0.6197154365761182,-0.006545600892689629,3.724540908935701,0.42528735632183906,0.41379310344827586,0.5635145512350208,0.575332599657618,-0.011494252873563204,0.01181804842259715,0.42528735632183906,0.575332599657618,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
Shanghai,Jebel Ali,fit,340,272,20.670675925026377,1.70445450365904,0.3948231896853281,0.5403904204966419,0.14556723081131379,0.8401222473715242,0.7424575082224913,-0.09766473914903284,4.505283991581522,0.8492647058823529,0.7426470588235294,0.9235074626865671,0.8694029850746269,-0.10661764705882348,-0.05410447761194026,0.8492647058823529,0.9235074626865671,"{""fishing_vessel"": 4, ""tug_towing"": 268}"
Shanghai,Qingdao,meta,612,2270,37.75106107867773,5.941505972106523,0.4792230231273991,0.4070754643057265,-0.07214755882167262,0.7675082680438331,0.8098537245491971,0.04234545650536403,7.760193063177663,0.38634361233480174,0.18766519823788547,0.5899328859060403,0.5452860338766379,-0.19867841409691628,-0.04464685202940244,0.38634361233480174,0.5899328859060403,"{""fishing_vessel"": 2235, ""tug_towing"": 35}"
PortKlang,Jebel Ali,fit,5162,361,7.353930031242248,2.2623530550519337,0.7712621912571423,0.6264587544880819,-0.1448034367690605,0.6944903220197628,0.7594516957755068,0.06496137375574396,4.30826169743444,0.3490304709141274,0.18559556786703602,0.6132896125433439,0.566127694859038,-0.1634349030470914,-0.04716191768430589,0.3490304709141274,0.6132896125433439,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""passenger_ship"": 12, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
PortKlang,Qingdao,fit,2974,2549,12.589121371194837,6.4144368120647375,0.5404378395956614,0.7914534163618728,0.25101557676621145,0.7821567625180715,0.6990004583168045,-0.08315630420126707,8.927137558546427,0.4068262063554335,0.37897214593958417,0.5532616338558847,0.34199110880598166,-0.027854060415849313,-0.211270525049903,0.4068262063554335,0.5532616338558847,"{""container_ship"": 142, ""dredger"": 64, ""fishing_vessel"": 2235, ""passenger_ship"": 35, ""product_chemical_tanker"": 38, ""tug_towing"": 35}"
PortKlang,Shanghai,fit,3399,2124,11.091498495464927,4.736509568185362,0.5552122203516318,0.5178839654054717,-0.0373282549461601,0.7750011892010336,0.793022689536666,0.018021500335632434,7.228149608068054,0.5080037664783428,0.3775894538606403,0.4377323791849767,0.27795240345771716,-0.13041431261770248,-0.15977997572725955,0.5080037664783428,0.4377323791849767,"{""container_ship"": 895, ""dredger"": 225, ""fishing_vessel"": 472, ""passenger_ship"": 51, ""product_chemical_tanker"": 222, ""tug_towing"": 259}"
PortKlang,Singapore,fit,5261,262,11.52477936660009,4.226469224477638,0.9044439685675132,0.644090530827218,-0.2603534377402952,0.6296715604858073,0.753646614267035,0.12397505378122775,8.404972662208495,0.4312977099236641,0.27099236641221375,0.691348129126926,0.4377784970676948,-0.16030534351145037,-0.2535696320592312,0.4312977099236641,0.691348129126926,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""passenger_ship"": 1, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
Fujairah,Jebel Ali,other,3131,349,8.497776518818272,2.475096047732686,0.597018715241512,0.40018296557678257,-0.1968357496647294,0.7603881663660251,0.8464386982261638,0.08605053186013867,4.2965903354004755,0.1489971346704871,0.045845272206303724,0.3827860696517413,0.3597919493441881,-0.1031518624641834,-0.022994120307553156,0.1489971346704871,0.3827860696517413,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
Fujairah,Qingdao,fit,617,2514,7.84747567335027,3.762450691323858,0.506899976493819,0.7273733644791579,0.2204733879853389,0.7990811725319378,0.68173839748979,-0.11734277504214774,4.972162337415209,0.6972951471758154,0.4228321400159109,0.6686073283572861,0.63978217281435,-0.2744630071599045,-0.028825155542936076,0.6972951471758154,0.6686073283572861,"{""container_ship"": 142, ""dredger"": 64, ""fishing_vessel"": 2235, ""product_chemical_tanker"": 38, ""tug_towing"": 35}"
Fujairah,Shanghai,meta,3131,2073,9.249244985065765,2.824020511525582,0.5679148391337313,0.444929419632285,-0.12298541950144631,0.7754807285507691,0.8238349384274082,0.048354209876639076,5.4915044942376205,0.35938253738543174,0.3111432706222865,0.33648825383339154,0.2629189405700153,-0.04823926676314522,-0.07356931326337623,0.35938253738543174,0.33648825383339154,"{""container_ship"": 895, ""dredger"": 225, ""fishing_vessel"": 472, ""product_chemical_tanker"": 222, ""tug_towing"": 259}"
Fujairah,Singapore,fit,2870,261,15.446496115286854,6.160867582990749,0.48653663740206654,0.32929435443318605,-0.1572422829688805,0.8112200035231564,0.8671512248228054,0.055931221299649,7.953944712190856,0.4482758620689655,0.29118773946360155,0.6066072389337246,0.328976680620891,-0.15708812260536398,-0.27763055831283356,0.4482758620689655,0.6066072389337246,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
JebelAli,Qingdao,fit,301,2412,13.053448178448887,3.3915464398836477,0.13398160322992045,0.21440557340381636,0.08042397017389591,0.9453079761796339,0.9099871140163966,-0.035320862163237265,6.072840875788203,0.8121890547263682,0.5182421227197347,0.8609305347371327,0.7381839133233404,-0.29394693200663347,-0.12274662141379222,0.8121890547263682,0.8609305347371327,"{""container_ship"": 142, ""fishing_vessel"": 2235, ""tug_towing"": 35}"
JebelAli,Shanghai,meta,2713,1626,19.555999413969086,4.586160880285528,0.3227237975915422,0.18704170915048265,-0.13568208844105953,0.857551046974738,0.9260773711886873,0.06852632421394922,7.99666326297193,0.5166051660516605,0.45141451414514144,0.49031133342278116,0.4299111510904902,-0.06519065190651907,-0.06040018233229094,0.5166051660516605,0.49031133342278116,"{""container_ship"": 895, ""fishing_vessel"": 472, ""tug_towing"": 259}"
PortSaid,Jebel Ali,fit,3178,349,13.134094019253986,3.9064839251101926,0.6274300920677464,0.40986269485290466,-0.2175673972148417,0.7579876976780547,0.8421060724029974,0.08411837472494266,6.420605476420993,0.39255014326647564,0.08022922636103152,0.6249525101763908,0.46382632293080056,-0.3123209169054441,-0.1611261872455902,0.39255014326647564,0.6249525101763908,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
PortSaid,Qingdao,fit,1013,2514,12.220743561776324,4.244182588863453,0.5528645504696099,0.6038068342261611,0.05094228375655119,0.7695787082346461,0.7518682922982841,-0.017710415936362023,7.2899686541213535,0.375497215592681,0.12927605409705648,0.5254843201739579,0.4194437293725855,-0.24622116149562454,-0.10604059080137235,0.375497215592681,0.5254843201739579,"{""container_ship"": 142, ""dredger"": 64, ""fishing_vessel"": 2235, ""product_chemical_tanker"": 38, ""tug_towing"": 35}"
PortSaid,Shanghai,meta,3527,2073,10.449128349759697,2.5475799656621536,0.6237887173627312,0.5000432428042328,-0.12374547455849838,0.7595642472455367,0.7921282667411543,0.0325640194956176,5.363458968395595,0.36034732272069464,0.3429811866859624,0.34214328577769537,0.28253942967275036,-0.01736613603473225,-0.05960385610494501,0.36034732272069464,0.34214328577769537,"{""container_ship"": 895, ""dredger"": 225, ""fishing_vessel"": 472, ""product_chemical_tanker"": 222, ""tug_towing"": 259}"
PortSaid,Singapore,fit,3266,261,16.640404193803057,5.209963328629234,0.6054149676079325,0.5406159598684831,-0.06479900773944935,0.7616300392936689,0.780462958766215,0.01883291947254606,8.02540591654139,0.5172413793103449,0.25287356321839083,0.6909310344827586,0.46434641002402427,-0.26436781609195403,-0.22658462445873434,0.5172413793103449,0.6909310344827586,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
