fold,pseudo_target,n_fit,n_adapt,n_eval,lam,mu,cross_acc,cross_ba,mean_acc,mean_ba,module_acc,module_ba,diag_acc,diag_ba,best_baseline_acc,best_baseline_ba
Rotterdam,Qingdao,2918,24919,1588,10.0,0.0,0.23992443324937027,0.3182995919989482,0.3148614609571788,0.38436336720723324,0.241183879093199,0.32097051333458515,0.23992443324937027,0.3182995919989482,0.3148614609571788,0.38436336720723324
Shanghai,Qingdao,612,24919,1451,10.0,0.0,0.3893866299104066,0.5595636025998143,0.35906271536871126,0.5772284122562674,0.3838731909028256,0.55677808727948,0.39007580978635426,0.5599117920148561,0.3893866299104066,0.5772284122562674
Fujairah,Shanghai,3131,32980,1094,10.0,0.0,0.4186471663619744,0.34372077221244374,0.396709323583181,0.2853602138729279,0.4186471663619744,0.3427448116617965,0.41773308957952465,0.34199663428140925,0.4186471663619744,0.34372077221244374
JebelAli,Shanghai,2713,32980,865,10.0,0.0,0.5734104046242775,0.4969836737682114,0.5364161849710982,0.4476852868682431,0.5757225433526012,0.5006235205115065,0.5722543352601156,0.4941101105498206,0.5734104046242775,0.4969836737682114
PortSaid,Shanghai,3527,32980,1094,10.0,0.0,0.4040219378427788,0.3394316739895337,0.42413162705667273,0.31450987397786034,0.40219378427787933,0.33815778863921525,0.4040219378427788,0.3394316739895337,0.42413162705667273,0.3394316739895337
