fold,held_out_port,statistic,direction,threshold_selected_on_train,train_mean_ba_gain,signal_value,action,ba,acc,cross_ba,mean_ba,oracle_ba,delta_ba,regret_vs_oracle_ba,class_support
Fujairah,Singapore,stat_shift_norm,1,20.670676,-0.0027904282518376525,15.446496115286854,cross,0.6066072389337246,0.4482758620689655,0.6066072389337246,0.328976680620891,0.6066072389337246,-0.27763055831283356,0.0,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
PortSaid,Singapore,stat_shift_norm,1,20.670676,-0.0027904282518376525,16.640404193803057,cross,0.6909310344827586,0.5172413793103449,0.6909310344827586,0.46434641002402427,0.6909310344827586,-0.22658462445873434,0.0,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
Rotterdam,Jebel Ali,stat_energy_dist,-1,1.181999,-0.005800758451852106,3.2166087452758454,cross,0.6614156490275893,0.6217765042979942,0.6614156490275893,0.5808005427408414,0.6614156490275893,-0.08061510628674795,0.0,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
Shanghai,Jebel Ali,stat_energy_dist,-1,1.181999,-0.005800758451852106,1.70445450365904,cross,0.9235074626865671,0.8492647058823529,0.9235074626865671,0.8694029850746269,0.9235074626865671,-0.05410447761194026,0.0,"{""fishing_vessel"": 4, ""tug_towing"": 268}"
PortKlang,Jebel Ali,stat_energy_dist,-1,1.181999,-0.005800758451852106,2.2623530550519337,cross,0.6132896125433439,0.3490304709141274,0.6132896125433439,0.566127694859038,0.6132896125433439,-0.04716191768430589,0.0,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""passenger_ship"": 12, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
Fujairah,Jebel Ali,stat_energy_dist,-1,1.181999,-0.005800758451852106,2.475096047732686,cross,0.3827860696517413,0.1489971346704871,0.3827860696517413,0.3597919493441881,0.3827860696517413,-0.022994120307553156,0.0,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
PortSaid,Jebel Ali,stat_energy_dist,-1,1.181999,-0.005800758451852106,3.9064839251101926,cross,0.6249525101763908,0.39255014326647564,0.6249525101763908,0.46382632293080056,0.6249525101763908,-0.1611261872455902,0.0,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
Rotterdam,Qingdao,stat_energy_dist,-1,1.181999,-0.006215098341270113,5.811671597115186,cross,0.30427082348678197,0.21439936356404138,0.30427082348678197,0.3276939992717402,0.3276939992717402,0.023423175784958228,0.023423175784958228,"{""container_ship"": 142, ""dredger"": 64, ""fishing_vessel"": 2235, ""product_chemical_tanker"": 38, ""tug_towing"": 35}"
Shanghai,Qingdao,stat_energy_dist,-1,1.181999,-0.006215098341270113,5.941505972106523,cross,0.5899328859060403,0.38634361233480174,0.5899328859060403,0.5452860338766379,0.5899328859060403,-0.04464685202940244,0.0,"{""fishing_vessel"": 2235, ""tug_towing"": 35}"
PortKlang,Qingdao,stat_energy_dist,-1,1.181999,-0.006215098341270113,6.4144368120647375,cross,0.5532616338558847,0.4068262063554335,0.5532616338558847,0.34199110880598166,0.5532616338558847,-0.211270525049903,0.0,"{""container_ship"": 142, ""dredger"": 64, ""fishing_vessel"": 2235, ""passenger_ship"": 35, ""product_chemical_tanker"": 38, ""tug_towing"": 35}"
Fujairah,Qingdao,stat_energy_dist,-1,1.181999,-0.006215098341270113,3.762450691323858,cross,0.6686073283572861,0.6972951471758154,0.6686073283572861,0.63978217281435,0.6686073283572861,-0.028825155542936076,0.0,"{""container_ship"": 142, ""dredger"": 64, ""fishing_vessel"": 2235, ""product_chemical_tanker"": 38, ""tug_towing"": 35}"
JebelAli,Qingdao,stat_energy_dist,-1,1.181999,-0.006215098341270113,3.3915464398836477,cross,0.8609305347371327,0.8121890547263682,0.8609305347371327,0.7381839133233404,0.8609305347371327,-0.12274662141379222,0.0,"{""container_ship"": 142, ""fishing_vessel"": 2235, ""tug_towing"": 35}"
PortSaid,Qingdao,stat_energy_dist,-1,1.181999,-0.006215098341270113,4.244182588863453,cross,0.5254843201739579,0.375497215592681,0.5254843201739579,0.4194437293725855,0.5254843201739579,-0.10604059080137235,0.0,"{""container_ship"": 142, ""dredger"": 64, ""fishing_vessel"": 2235, ""product_chemical_tanker"": 38, ""tug_towing"": 35}"
