fold,port,n,n_other,classes,cross_acc,cross_ba,coral_wrong_acc,coral_wrong_ba,coral_t2s_acc,coral_t2s_ba,coral_s2t_acc,coral_s2t_ba,cov_residual_t2s,cov_residual_wrong,identity_max_abs_err
Rotterdam,Jebel Ali,349,5246,5,0.2808022922636103,0.5286974219810041,0.20916905444126074,0.16218905472636816,0.1174785100286533,0.4692853912256898,0.1174785100286533,0.47308457711442786,1.3738714502016858e-15,19.931267692174416,5.3290705182007514e-14
Rotterdam,Qingdao,2514,3081,5,0.23349244232299124,0.3023688833223052,0.21758154335719967,0.2030353763935313,0.29156722354813047,0.33867183526213207,0.2856006364359586,0.34379816651587375,3.0936828507650914e-15,15.643062230336604,4.973799150320701e-14
Rotterdam,Shanghai,2073,3522,5,0.46357935359382535,0.4429668267426055,0.21128798842257598,0.2064259167929275,0.2961890979257115,0.27544546391454827,0.30294259527255185,0.2791176157828937,4.67888739789153e-15,5.787607076187384,8.881784197001252e-14
Rotterdam,Singapore,261,5334,5,0.3563218390804598,0.530937148447053,0.1417624521072797,0.17734379180872642,0.26436781609195403,0.462953318084387,0.26053639846743293,0.464116438651763,3.0650744317287933e-15,26.155898211151747,6.927791673660977e-14
