fold,ref_port,adapt_port,n_ref,n_adapt,stat_shift_norm,stat_energy_dist,stat_entropy_before,stat_entropy_after,stat_delta_entropy,stat_conf_before,stat_conf_after,stat_delta_conf,delta_acc,delta_ba,cross_acc,mean_acc,cross_ba,mean_ba
Rotterdam,Jebel Ali,Qingdao,349,2514,12.897882658530156,3.714160825914771,0.2750376962791543,0.3587934225325159,0.08375572625336158,0.8966227007169288,0.862046262054742,-0.03457643866218685,-0.052903739061256956,-0.015319842343831047,0.07398568019093078,0.021081941129673827,0.23836886250388237,0.22304902016005132
Rotterdam,Jebel Ali,Shanghai,349,2073,11.724646513408679,3.5498449349342156,0.5279739958487835,0.4367303781499863,-0.09124361769879719,0.7772073477248979,0.821804504749877,0.04459715702497913,-0.06898215147129763,-0.04934047888569243,0.20791123974915582,0.1389290882778582,0.2775330545419552,0.22819257565626277
Rotterdam,Jebel Ali,Singapore,349,261,10.306993907458398,2.889258961258614,0.5416722134465186,0.352673249818787,-0.1889989636277316,0.7755766140522898,0.8669190507143596,0.09134243666206976,-0.0957854406130268,-0.08263916102024083,0.3946360153256705,0.2988505747126437,0.3813947894638413,0.2987556284436005
Rotterdam,Qingdao,Jebel Ali,2514,349,14.755870405310127,3.721557144992799,0.4736422897466184,0.3631278875520702,-0.11051440219454817,0.8332510077182778,0.870298393245483,0.03704738552720521,-0.0028653295128939806,-0.004545454545454519,0.03151862464183381,0.02865329512893983,0.4067842605156038,0.40223880597014927
Rotterdam,Qingdao,Shanghai,2514,2073,19.418451734917525,7.127764322889169,0.35293751243243643,0.40270901397675396,0.04977150154431753,0.8759330544044296,0.8540640229506926,-0.021869031453736976,-0.11239749155812834,-0.045183155154559396,0.47563917028461167,0.36324167872648333,0.3171391541148193,0.2719559989602599
Rotterdam,Qingdao,Singapore,2514,261,23.261611057217657,9.455456109479101,0.3878039989793858,0.40878758597161624,0.020983586992230463,0.8638405265271341,0.8492549182131898,-0.014585608313944287,-0.0038314176245210774,-0.07384230287859828,0.18007662835249041,0.17624521072796934,0.4085106382978724,0.3346683354192741
Rotterdam,Shanghai,Jebel Ali,2073,349,10.483118430556038,3.559865397431917,0.6859749695296534,0.735745809262525,0.04977083973287155,0.7343237309845192,0.720026641993228,-0.014297088991291229,-0.1833810888252149,-0.05792401628222532,0.41260744985673353,0.22922636103151864,0.45948439620081416,0.40156037991858884
Rotterdam,Shanghai,Qingdao,2073,2514,15.167937686435792,6.747879796414951,0.609153195412204,0.6675882653947088,0.058435069982504806,0.760405304188177,0.7413420420190134,-0.019063262169163542,0.23508353221957037,-0.0180865735742608,0.1917263325377884,0.42680986475735877,0.31717079824999683,0.29908422467573603
Rotterdam,Shanghai,Singapore,2073,261,6.523608899264453,1.2500420711130467,0.8416647124638938,0.8812406521273518,0.03957593966345796,0.6769259615572957,0.6602978050576259,-0.016628156499669755,0.007662835249042099,0.012625336268036247,0.2720306513409962,0.2796934865900383,0.4260034238200049,0.43862876008804114
Rotterdam,Singapore,Jebel Ali,261,349,10.192992722465982,2.881896337347417,0.550263929013872,0.47911909410092146,-0.07114483491295054,0.7557397739601209,0.8078204167716767,0.05208064281155578,-0.27793696275071633,-0.08210764360018086,0.5071633237822349,0.22922636103151864,0.7359158751696064,0.6538082315694256
Rotterdam,Singapore,Qingdao,261,2514,20.112501960504723,9.40644387194611,0.4609849116053262,0.4098296821670548,-0.05115522943827139,0.8136206610484714,0.8491498356940311,0.035529174645559713,-0.01869530628480509,-0.0036856017773898575,0.2541766109785203,0.2354813046937152,0.2599193342380907,0.25623373246070086
Rotterdam,Singapore,Shanghai,261,2073,7.225382626350915,1.241234586896475,0.38565525856766625,0.3765868859184661,-0.00906837264920013,0.8492400110494166,0.8509734469374169,0.0017334358880003453,-0.024602026049204084,-0.016267202638947764,0.4071394114809455,0.38253738543174143,0.5131043587719092,0.4968371561329614
Shanghai,Jebel Ali,Qingdao,272,2270,60.33489433607685,9.566709817793614,0.2280167500061269,0.018610506463725456,-0.20940624354240145,0.9152420264930803,0.9969084955263914,0.0816664690333111,0.0,0.0,0.015418502202643172,0.015418502202643172,0.5,0.5
Shanghai,Qingdao,Jebel Ali,2270,272,57.86870639428466,9.566308309599464,0.19258476638575317,0.07612614452182707,-0.1164586218639261,0.9474747621979359,0.984469187521186,0.036994425323250035,0.0,0.0,0.014705882352941176,0.014705882352941176,0.5,0.5
PortKlang,Jebel Ali,Qingdao,361,2549,13.929967295953217,6.54592222950812,0.22595263319889464,0.18237996548524352,-0.04357266771365112,0.9117594588952417,0.9301590826635076,0.01839962376826587,-0.08395449195763045,-0.08744934405877952,0.13730874852883485,0.05335425657120439,0.5007553874406216,0.4133060433818421
PortKlang,Jebel Ali,Shanghai,361,2124,6.583985690577617,1.9905079879824754,0.2931970200869288,0.3129265166917668,0.019729496604838026,0.8820838676528705,0.8708000640046182,-0.011283803648252322,-0.16148775894538608,-0.12784511101083734,0.4439736346516008,0.2824858757062147,0.47003747038114607,0.34219235937030873
PortKlang,Jebel Ali,Singapore,361,262,7.173433414602199,1.989765798793707,0.2583236594066719,0.22174831734093764,-0.03657534206573426,0.8922376016491382,0.9045098852400245,0.01227228359088628,-0.1068702290076336,-0.08990164909201626,0.4961832061068702,0.3893129770992366,0.6857512263893084,0.5958495772972922
PortKlang,Qingdao,Jebel Ali,2549,361,16.41589647025455,6.557122527063685,0.44789761742585654,0.23167396762512127,-0.21622364980073527,0.8234345463734691,0.9118675935478127,0.08843304717434353,-0.12188365650969529,-0.17475124378109452,0.18282548476454294,0.060941828254847646,0.5585707824513795,0.38381953867028495
PortKlang,Qingdao,Shanghai,2549,2124,16.94098729285019,7.392513042988803,0.3219550218643731,0.3531628975168171,0.03120787565244404,0.8780363372252079,0.8584473336176202,-0.01958900360758775,-0.18314500941619588,-0.09880700661568947,0.5659133709981168,0.3827683615819209,0.36213813239422166,0.2633311257785322
PortKlang,Qingdao,Singapore,2549,262,22.55551713817833,11.442860108947079,0.4449349029929368,0.32916737424392395,-0.11576752874901286,0.8252507636386058,0.8611558867010213,0.035905123062415445,-0.16793893129770993,-0.18601388709066413,0.3702290076335878,0.20229007633587787,0.48332518138094077,0.29731129429027664
PortKlang,Shanghai,Jebel Ali,2124,361,6.214682706652338,1.999401734783433,0.7938705662688607,0.8629437613062116,0.06907319503735099,0.6863658198127234,0.650117466335017,-0.036248353477706385,-0.26038781163434904,0.008035579677370563,0.5429362880886427,0.28254847645429365,0.6151364390170361,0.6231720186944066
PortKlang,Shanghai,Qingdao,2124,2549,13.563445648004352,6.964822767556173,0.56675840146178,0.7884663753351855,0.22170797387340546,0.7836010581746001,0.7018537516527694,-0.08174730652183071,-0.07453903491565317,-0.29444604000528946,0.6233817183209102,0.548842683405257,0.5984651842330723,0.3040191442277828
PortKlang,Shanghai,Singapore,2124,262,6.195184799295739,1.5178870422413553,0.8918585836047039,1.0039613455442977,0.11210276193959379,0.6351540927814538,0.5941749829716756,-0.04097910980977826,0.1297709923664122,0.04962279237936307,0.3435114503816794,0.4732824427480916,0.6045909757887014,0.6542137681680644
PortKlang,Singapore,Jebel Ali,262,361,7.012893239567537,1.9778161286353466,0.4308505075718321,0.41245666457441754,-0.018393842997414533,0.824251842461168,0.8256411477053587,0.001389305244190675,-0.21052631578947367,-0.014963063470526339,0.5817174515235457,0.37119113573407203,0.7661239258254184,0.7511608623548921
PortKlang,Singapore,Qingdao,262,2549,18.795761714502554,11.40491564756839,0.43780097508775123,0.4129268990173836,-0.024874076070367623,0.8245660506078427,0.8306544489782421,0.006088398370399428,-0.4601804629266379,-0.10172305826106204,0.5704197724597881,0.11023930953315025,0.4859456816451122,0.38422262338405017
PortKlang,Singapore,Shanghai,262,2124,6.436785301366599,1.508477661375661,0.4155028299848827,0.4372770221941192,0.021774192209236487,0.8254421715912862,0.8185853122848763,-0.00685685930640989,-0.07909604519774016,-0.07306467204665062,0.5141242937853108,0.4350282485875706,0.4985572835050798,0.42549261145842915
Fujairah,Jebel Ali,Qingdao,349,2514,9.772152885378137,3.1767378965009314,0.4158180513467234,0.3879079472904626,-0.02791010405626082,0.848218596942297,0.8667634801360692,0.018544883193772232,-0.0222752585521082,0.02328396583433251,0.0552903739061257,0.0330151153540175,0.25371852731246775,0.27700249314680025
Fujairah,Jebel Ali,Shanghai,349,2073,4.9638900706885645,0.9639895651228549,0.3940004057323514,0.44478183152303924,0.05078142579068784,0.8513169796349014,0.8220526796201223,-0.029264300014779088,-0.012059816690786304,-0.011394107148391813,0.13699951760733237,0.12493970091654606,0.20555846565788807,0.19416435850949626
Fujairah,Jebel Ali,Singapore,349,261,8.358280119874154,2.308249178951259,0.34626986656647407,0.46725242441339393,0.12098255784691986,0.8631759104973729,0.7968883242832279,-0.06628758621414499,0.019157088122605387,-0.012910275775754154,0.23371647509578544,0.25287356321839083,0.2990029490886597,0.28609267331290555
