fold,port,n,n_other,classes,cross_acc,cross_ba,coral_wrong_acc,coral_wrong_ba,coral_t2s_acc,coral_t2s_ba,coral_s2t_acc,coral_s2t_ba,cov_residual_t2s,cov_residual_wrong,identity_max_abs_err
Shanghai,Jebel Ali,272,2699,2,0.4522058823529412,0.7220149253731343,0.47058823529411764,0.23880597014925373,0.014705882352941176,0.5,0.014705882352941176,0.5,2.0353082024521854e-15,125.23832330387732,5.10702591327572e-15
Shanghai,Qingdao,2270,701,2,0.3748898678414097,0.5981783317353787,0.479295154185022,0.5949504634068392,0.23392070484581498,0.5687759667625439,0.23876651982378855,0.5431128155960371,1.1991882386604416e-15,99.0157274229542,1.1546319456101628e-14
