product_id,objects,t1_labelled,t2_labelled,ais_rows
S1A_IW_GRDH_1SDV_20250901T035233_20250901T035258_060789_079136_B324,542,7,7,4430
S1A_IW_GRDH_1SDV_20250909T055837_20250909T055902_060907_0795EC_8CC1,2250,47,87,223119
S1A_IW_GRDH_1SDV_20250910T142503_20250910T142528_060927_0796BD_18EC,1897,49,80,60327
S1A_IW_GRDH_1SDV_20250913T035234_20250913T035259_060964_079836_C838,676,5,13,4222
S1A_IW_GRDH_1SDV_20250913T095501_20250913T095526_060968_07985B_0B8B,2428,748,942,299151
S1A_IW_GRDH_1SDV_20250917T141651_20250917T141716_061029_079AD4_BEB1,559,12,47,77772
S1A_IW_GRDH_1SDV_20250922T142504_20250922T142529_061102_079DC2_7207,1795,33,71,61953
S1A_IW_GRDH_1SDV_20250925T021543_20250925T021606_061138_079F34_4E55,1311,29,41,23311
S1A_IW_GRDH_1SDV_20250925T035234_20250925T035259_061139_079F3E_697B,530,8,8,2924
S1A_IW_GRDH_1SDV_20250925T095501_20250925T095526_061143_079F62_43F4,2627,747,927,307082
S1A_IW_GRDH_1SDV_20250930T113407_20250930T113432_061217_07A26A_3C89,459,16,25,21537
S1A_IW_GRDH_1SDV_20251004T142503_20251004T142528_061277_07A4D4_B04D,1754,64,96,34309
S1A_IW_GRDH_1SDV_20251007T035234_20251007T035259_061314_07A64B_B254,731,10,14,10038
S1A_IW_GRDH_1SDV_20251007T095502_20251007T095527_061318_07A66F_9734,3074,964,1144,318102
S1A_IW_GRDH_1SDV_20251011T141652_20251011T141717_061379_07A8EC_6D05,544,12,34,66303
S1A_IW_GRDH_1SDV_20251012T113408_20251012T113433_061392_07A972_E193,478,27,45,12613
S1A_IW_GRDH_1SDV_20251016T142504_20251016T142529_061452_07ABDD_BF78,2051,46,84,71543
S1A_IW_GRDH_1SDV_20251019T035234_20251019T035259_061489_07AD50_1AB6,605,11,13,8557
S1A_IW_GRDH_1SDV_20251019T095501_20251019T095526_061493_07AD75_C893,2276,729,824,262943
S1A_IW_GRDH_1SDV_20251023T141652_20251023T141717_061554_07AFF4_3310,588,10,40,94312
S1A_IW_GRDH_1SDV_20251026T020728_20251026T020753_061590_07B161_3CC3,652,15,34,28919
S1A_IW_GRDH_1SDV_20251027T055837_20251027T055902_061607_07B211_E251,1807,32,46,44478
S1A_IW_GRDH_1SDV_20251028T142503_20251028T142528_061627_07B2E5_AF8B,1953,38,56,59392
S1A_IW_GRDH_1SDV_20251031T095501_20251031T095526_061668_07B482_E582,2752,880,1073,374817
S1A_IW_GRDH_1SDV_20251109T142503_20251109T142528_061802_07B9BD_1AE4,1818,33,63,59951
S1A_IW_GRDH_1SDV_20251112T035233_20251112T035258_061839_07BB21_91CA,467,7,13,4069
S1A_IW_GRDH_1SDV_20251112T095500_20251112T095525_061843_07BB43_791B,2511,866,1031,330089
S1A_IW_GRDH_1SDV_20251120T055836_20251120T055901_061957_07BFB6_DC2D,2204,41,57,74260
S1A_IW_GRDH_1SDV_20251121T142503_20251121T142528_061977_07C08B_B3BC,1852,24,51,60644
S1A_IW_GRDH_1SDV_20251124T035232_20251124T035257_062014_07C1F4_0DB0,449,24,36,9516
S1A_IW_GRDH_1SDV_20251124T095500_20251124T095525_062018_07C214_828E,2582,703,866,336393
S1A_IW_GRDH_1SDV_20251129T113406_20251129T113431_062092_07C503_6B6D,548,10,16,28492
S1A_IW_GRDH_1SDV_20251202T055835_20251202T055900_062132_07C68A_27C0,2310,41,59,168844
S1A_IW_GRDH_1SDV_20251203T142501_20251203T142526_062152_07C75E_D213,2009,42,69,47199
S1A_IW_GRDH_1SDV_20251206T035231_20251206T035256_062189_07C8C7_B4B3,377,7,11,6707
S1A_IW_GRDH_1SDV_20251206T095458_20251206T095523_062193_07C8EB_18F6,2866,748,961,166249
S1A_IW_GRDH_1SDV_20251211T113405_20251211T113430_062267_07CBD7_A7ED,504,13,18,25905
S1A_IW_GRDH_1SDV_20251214T055834_20251214T055859_062307_07CD62_B45A,2389,42,64,120263
S1A_IW_GRDH_1SDV_20251215T142500_20251215T142525_062327_07CE36_F264,1633,29,45,47188
S1A_IW_GRDH_1SDV_20251218T035230_20251218T035255_062364_07CF9A_DF33,496,32,39,2490
S1A_IW_GRDH_1SDV_20251218T095457_20251218T095522_062368_07CFBE_85B2,2865,807,1003,275157
S1A_IW_GRDH_1SDV_20251222T141647_20251222T141712_062429_07D225_B5FC,557,4,21,37339
S1A_IW_GRDH_1SDV_20251223T113403_20251223T113428_062442_07D2AB_3284,527,22,30,23371
S1A_IW_GRDH_1SDV_20251226T055832_20251226T055857_062482_07D430_A244,2142,23,34,38415
S1A_IW_GRDH_1SDV_20251227T142459_20251227T142524_062502_07D505_24C1,2367,85,115,49234
S1A_IW_GRDH_1SDV_20251230T035229_20251230T035254_062539_07D665_2BBB,358,18,30,7555
S1A_IW_GRDH_1SDV_20251230T095456_20251230T095521_062543_07D685_E32F,2672,738,967,394805
S1A_IW_GRDH_1SDV_20260104T113402_20260104T113427_062617_07D969_8415,558,26,56,24730
S1A_IW_GRDH_1SDV_20260224T055828_20260224T055853_063357_07F51A_CAA5,2348,70,104,136463
S1C_IW_GRDH_1SDV_20250814T021436_20250814T021501_003662_00752F_F0F2,1336,43,75,24119
S1C_IW_GRDH_1SDV_20251013T021438_20251013T021503_004537_008FA6_7629,1326,47,71,32222
S1C_IW_GRDH_1SDV_20251106T021437_20251106T021502_004887_009A94_6EF3,1338,39,70,26176
S1C_IW_GRDH_1SDV_20251130T021436_20251130T021501_005237_00A653_4A11,1277,37,53,21757
