fold,pseudo_target,lambda,n_eval,enabled_dims,cross_acc,cross_ba,knowledge_acc,knowledge_ba,shuffled_acc,shuffled_ba,rescue,harm,class_support
Rotterdam,Qingdao,0.0,1588,2,0.23992443324937027,0.3182995919989482,0.23992443324937027,0.3182995919989482,0.23992443324937027,0.3182995919989482,0,0,"{""container_ship"": 79, ""dredger"": 43, ""fishing_vessel"": 1436, ""product_chemical_tanker"": 15, ""tug_towing"": 15}"
Shanghai,Qingdao,0.0,1451,3,0.39145416953824946,0.5606081708449396,0.39145416953824946,0.5606081708449396,0.39145416953824946,0.5606081708449396,0,0,"{""fishing_vessel"": 1436, ""tug_towing"": 15}"
Fujairah,Shanghai,0.0,1094,3,0.4186471663619744,0.34372077221244374,0.4186471663619744,0.34372077221244374,0.4186471663619744,0.34372077221244374,0,0,"{""container_ship"": 435, ""dredger"": 105, ""fishing_vessel"": 314, ""product_chemical_tanker"": 124, ""tug_towing"": 116}"
JebelAli,Shanghai,0.0,865,2,0.5710982658959538,0.4912365473314298,0.5710982658959538,0.4912365473314298,0.5710982658959538,0.4912365473314298,0,0,"{""container_ship"": 435, ""fishing_vessel"": 314, ""tug_towing"": 116}"
PortSaid,Shanghai,0.0,1094,3,0.4040219378427788,0.3394316739895337,0.4040219378427788,0.3394316739895337,0.4040219378427788,0.3394316739895337,0,0,"{""container_ship"": 435, ""dredger"": 105, ""fishing_vessel"": 314, ""product_chemical_tanker"": 124, ""tug_towing"": 116}"
