fold,pseudo_target,n_fit_M0,n_added,n_eval,M0_acc,M0_ba,M1_acc,M1_ba,rescue_M1_vs_M0,harm_M1_vs_M0,per_class_recall_M0,per_class_recall_M1,per_class_support
Rotterdam,Qingdao,2918,1099,1588,0.23992443324937027,0.3182995919989482,0.2367758186397985,0.3148692398585348,18,23,"{""container_ship"": 0.468, ""dredger"": 0.163, ""fishing_vessel"": 0.227, ""product_chemical_tanker"": 0.0, ""tug_towing"": 0.733}","{""container_ship"": 0.456, ""dredger"": 0.093, ""fishing_vessel"": 0.226, ""product_chemical_tanker"": 0.0, ""tug_towing"": 0.8}","{""container_ship"": 79, ""dredger"": 43, ""fishing_vessel"": 1436, ""product_chemical_tanker"": 15, ""tug_towing"": 15}"
Shanghai,Qingdao,612,201,1451,0.3893866299104066,0.5595636025998143,0.36871123363197794,0.5821030640668524,9,39,"{""fishing_vessel"": 0.386, ""tug_towing"": 0.733}","{""fishing_vessel"": 0.364, ""tug_towing"": 0.8}","{""fishing_vessel"": 1436, ""tug_towing"": 15}"
PortSaid,Shanghai,3527,278,1094,0.4040219378427788,0.3394316739895337,0.40676416819012795,0.34331858301088086,21,18,"{""container_ship"": 0.225, ""dredger"": 0.295, ""fishing_vessel"": 0.889, ""product_chemical_tanker"": 0.073, ""tug_towing"": 0.216}","{""container_ship"": 0.237, ""dredger"": 0.229, ""fishing_vessel"": 0.869, ""product_chemical_tanker"": 0.089, ""tug_towing"": 0.293}","{""container_ship"": 435, ""dredger"": 105, ""fishing_vessel"": 314, ""product_chemical_tanker"": 124, ""tug_towing"": 116}"
