mmsi,ais_rows,final_class,class_level,source,confidence,type_code,imo,vessel_kind,registry_type,flag,name,note
367555440,86,cargo_coarse,coarse,coarse_type_code,coarse,79,,ship,,,,AIS type code 79 (coarse family only)
367555480,1130,,unknown,needs_manual,none,125,,ship,,,,no_usable_type
367556020,1031,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367557410,375,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367557690,6,,unknown,needs_manual,none,99,,ship,,,,coarse_type_only
367558410,176,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,coarse_type_only
367558880,37,,unknown,needs_manual,none,54,,ship,,,,coarse_type_only
367559550,79,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367562810,769,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367562820,718,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367563470,4,,unknown,needs_manual,none,55,,ship,,,,coarse_type_only
367564470,169,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367564890,32,,unknown,needs_manual,none,10,8987876,ship,,,,type_outside_frozen_rules
367565130,131,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367565540,3,,unknown,needs_manual,none,37,,ship,,,,absent_from_mapping
367566040,56,,unknown,needs_manual,none,56,9702235,ship,,,,coarse_type_only
367567290,116,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367567990,47,,unknown,needs_manual,none,56,8975794,ship,,,,coarse_type_only
367569680,21,tug_towing,fine,rule_validated,medium,31,,ship,,,,purity 0.906 support 763
367570840,543,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367571790,11,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367571880,8,dredger,fine,rule_validated,medium,33,,ship,,,,purity 0.923 support 1029
367573610,256,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367574720,38,,unknown,needs_manual,none,99,,ship,,,,coarse_type_only
367576750,355,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,coarse_type_only
367578020,101,,unknown,needs_manual,none,99,,ship,,,,coarse_type_only
367578480,15,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
367579120,2182,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
