product_id,port,track,relative_orbit,start_utc,stop_utc,footprint_min_lon,footprint_min_lat,footprint_max_lon,footprint_max_lat,ais_files,ais_rows,ais_mmsi_unique,fine_resolved,fine_resolved_from_fill,fine_resolved_coarse,fine_unresolved,fine_conflict,worldcover_need,worldcover_have,raster_polarizations,raster_local_complete,raster_remote_22559_complete,raster_action,detection_status,knowledge_ready,blockers
S1A_IW_GRDH_1SDV_20250409T154858_20250409T154923_058682_07443D_5848,Port Said,160_97,160,2025-04-09T15:48:58Z,2025-04-09T15:49:23Z,,,,,1,1352,203,176,0,19,8,0,2,2,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster_remote_only
S1A_IW_GRDH_1SDV_20250409T173329_20250409T173354_058683_07444B_FA8B,Antwerp-Bruges,161_166,161,2025-04-09T17:33:29Z,2025-04-09T17:33:54Z,,,,,1,43360,5815,2973,33,1636,1027,179,4,4,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250409T213200_20250409T213229_058685_074467_4EAE,Port Hedland,,163,2025-04-09T21:32:00Z,2025-04-09T21:32:29Z,,,,,1,943,95,79,0,12,4,0,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250410T021545_20250410T021609_058688_074483_D3BC,Jebel Ali,166_509,166,2025-04-10T02:15:45Z,2025-04-10T02:16:09Z,,,,,1,11121,1348,1026,3,73,249,0,2,2,VV;VH,True,True,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250410T035237_20250410T035302_058689_07448D_74DC,Port Said,,167,2025-04-10T03:52:37Z,2025-04-10T03:53:02Z,,,,,1,857,228,196,0,20,12,0,2,2,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250410T095439_20250410T095504_058693_0744B4_AF10,Ningbo-Zhoushan,,171,2025-04-10T09:54:39Z,2025-04-10T09:55:04Z,120.699913,28.400282,123.598099,30.316563,2,105587,7366,3549,970,1424,2389,4,3,3,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250410T095504_20250410T095529_058693_0744B4_6BB7,Shanghai,,171,2025-04-10T09:55:04Z,2025-04-10T09:55:29Z,120.35878,29.90761,123.304535,31.820431,1,86355,11069,2350,359,6316,2391,12,3,3,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250410T095619_20250410T095644_058693_0744B4_726C,Qingdao,,171,2025-04-10T09:56:19Z,2025-04-10T09:56:44Z,,,,,6,119282,5452,3733,2505,344,1372,3,4,4,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250411T110623_20250411T110651_058708_07455A_7BDF,New York,11_458,11,2025-04-11T11:06:23Z,2025-04-11T11:06:51Z,,,,,1,5394,504,409,13,31,64,0,2,2,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster_remote_only
S1A_IW_GRDH_1SDV_20250411T224811_20250411T224836_058715_07459E_9525,Singapore,,18,2025-04-11T22:48:11Z,2025-04-11T22:48:36Z,,,,,5,136643,2578,2126,9,223,227,2,2,2,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250411T233426_20250411T233451_058715_0745A3_27EC,Callao,,18,2025-04-11T23:34:26Z,2025-04-11T23:34:51Z,,,,,1,2049,148,119,1,8,21,0,3,3,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250412T225100_20250412T225125_058730_07463B_EB61,New York,,33,2025-04-12T22:51:00Z,2025-04-12T22:51:25Z,,,,,1,599,157,125,25,16,16,0,5,5,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250412T225125_20250412T225150_058730_07463B_CA15,New York,33_131,33,2025-04-12T22:51:25Z,2025-04-12T22:51:50Z,,,,,2,5120,306,249,6,15,42,0,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250414T083110_20250414T083139_058750_074712_68ED,Santos,53_669,53,2025-04-14T08:31:10Z,2025-04-14T08:31:39Z,,,,,1,843,190,159,0,15,16,0,3,3,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster_remote_only
