manifest,date,utm,epsg_raster,epsg_vector,tif_exists,n_points,inside_pct,time_match,sog_med,len_med,status
SAR_Ship_Chip_20220314_UTM15N_EPSG32615_10m.manifest.json,20220314,15,32615,32615,1,78,100.0,78/78,0.0,52.0,ok
SAR_Ship_Chip_20220314_UTM17N_EPSG32617_10m.manifest.json,20220314,17,32617,32617,1,51,100.0,51/51,0.03,136.0,ok
SAR_Ship_Chip_20220315_UTM05N_EPSG32605_10m.manifest.json,20220315,5,32605,32605,1,5,100.0,5/5,3.07,37.0,ok
SAR_Ship_Chip_20220315_UTM15N_EPSG32615_10m.manifest.json,20220315,15,32615,32615,1,4,100.0,4/4,0.0,304.0,ok
SAR_Ship_Chip_20220315_UTM16N_EPSG32616_10m.manifest.json,20220315,16,32616,32616,1,68,100.0,68/68,0.0,159.0,ok
SAR_Ship_Chip_20220315_UTM17N_EPSG32617_10m.manifest.json,20220315,17,32617,32617,1,4,100.0,4/4,14.75,298.0,ok
SAR_Ship_Chip_20220315_UTM19N_EPSG32619_10m.manifest.json,20220315,19,32619,32619,1,1,100.0,1/1,10.51,133.0,ok
SAR_Ship_Chip_20220316_UTM04N_EPSG32604_10m.manifest.json,20220316,4,32604,32604,1,2,100.0,2/2,8.36,91.5,ok
SAR_Ship_Chip_20220316_UTM11N_EPSG32611_10m.manifest.json,20220316,11,32611,32611,1,12,100.0,12/12,12.22,203.5,ok
SAR_Ship_Chip_20220316_UTM18N_EPSG32618_10m.manifest.json,20220316,18,32618,32618,1,154,100.0,154/154,0.02,183.0,ok
SAR_Ship_Chip_20220316_UTM19N_EPSG32619_10m.manifest.json,20220316,19,32619,32619,1,14,100.0,14/14,10.1,160.5,ok
SAR_Ship_Chip_20220317_UTM10N_EPSG32610_10m.manifest.json,20220317,10,32610,32610,1,96,100.0,96/96,0.35,186.5,ok
SAR_Ship_Chip_20220317_UTM14N_EPSG32614_10m.manifest.json,20220317,14,32614,32614,1,83,100.0,83/83,0.0,177.0,ok
SAR_Ship_Chip_20220317_UTM16N_EPSG32616_10m.manifest.json,20220317,16,32616,32616,1,15,100.0,15/15,0.0,158.0,ok
SAR_Ship_Chip_20220317_UTM17N_EPSG32617_10m.manifest.json,20220317,17,32617,32617,1,64,100.0,64/64,3.11,173.0,ok
