port,class,class_name,n,ridge_V,ridge_VK,gbm_zk,gate_old,gate_new,gate_new_theta,oracle3
Antwerp-Bruges,0,bulk_carrier,208,0.44711538461538464,0.6153846153846154,0.9951923076923077,0.9807692307692307,0.9951923076923077,0.9759615384615384,0.9951923076923077
Antwerp-Bruges,1,fishing_vessel,190,0.8052631578947368,0.8631578947368421,0.9315789473684211,0.9315789473684211,0.9368421052631579,0.9315789473684211,0.968421052631579
Antwerp-Bruges,2,general_cargo,488,0.42008196721311475,0.5430327868852459,0.5901639344262295,0.5881147540983607,0.6536885245901639,0.6311475409836066,0.7520491803278688
Busan,0,bulk_carrier,204,0.3137254901960784,0.4166666666666667,0.9411764705882353,0.9166666666666666,0.9509803921568627,0.9264705882352942,0.9558823529411765
Busan,1,fishing_vessel,351,0.7521367521367521,0.7350427350427351,0.8262108262108262,0.8319088319088319,0.8205128205128205,0.7777777777777778,0.8689458689458689
Busan,2,general_cargo,316,0.3449367088607595,0.3512658227848101,0.25949367088607594,0.3069620253164557,0.5189873417721519,0.47151898734177217,0.5949367088607594
Callao,0,bulk_carrier,111,0.07207207207207207,0.06306306306306306,0.5585585585585585,0.5135135135135135,0.5315315315315315,0.5225225225225225,0.5855855855855856
Callao,1,fishing_vessel,192,0.4895833333333333,0.34375,0.2916666666666667,0.3541666666666667,0.4322916666666667,0.3489583333333333,0.5364583333333334
Callao,2,general_cargo,47,0.0851063829787234,0.44680851063829785,0.2765957446808511,0.44680851063829785,0.3404255319148936,0.425531914893617,0.5106382978723404
Callao,3,product_chem_tanker,59,0.3728813559322034,0.4915254237288136,0.7966101694915254,0.5254237288135594,0.6949152542372882,0.5084745762711864,0.7966101694915254
Callao,4,container_ship,21,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.42857142857142855,0.5238095238095238,0.6190476190476191
Callao,5,crude_oil_tanker,16,0.5625,0.5625,0.25,0.5625,0.5,0.5625,0.5625
Callao,6,tug_towing,19,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
Callao,7,offshore_supply,11,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.36363636363636365
Fujairah,0,bulk_carrier,956,0.32217573221757323,0.44037656903765693,0.6401673640167364,0.6297071129707112,0.5376569037656904,0.5428870292887029,0.7845188284518828
Fujairah,1,fishing_vessel,40,0.425,0.4,0.6,0.6,0.6,0.575,0.65
Fujairah,2,general_cargo,162,0.2716049382716049,0.36419753086419754,0.7777777777777778,0.7592592592592593,0.7901234567901234,0.7777777777777778,0.7901234567901234
Hamburg,0,bulk_carrier,218,0.47706422018348627,0.6513761467889908,0.9954128440366973,0.9954128440366973,0.9954128440366973,0.9954128440366973,0.9954128440366973
Hamburg,1,fishing_vessel,447,0.9194630872483222,0.9105145413870246,0.8926174496644296,0.8993288590604027,0.9060402684563759,0.9149888143176734,0.941834451901566
Hamburg,2,general_cargo,954,0.4779874213836478,0.4612159329140461,0.2830188679245283,0.28721174004192873,0.46645702306079667,0.510482180293501,0.6383647798742138
Houston,0,bulk_carrier,57,0.17543859649122806,0.47368421052631576,0.8771929824561403,0.7894736842105263,0.8245614035087719,0.8070175438596491,0.8771929824561403
Houston,1,fishing_vessel,277,0.8664259927797834,0.779783393501805,0.6606498194945848,0.7328519855595668,0.7256317689530686,0.7364620938628159,0.9205776173285198
Houston,2,general_cargo,47,0.3191489361702128,0.1276595744680851,0.3617021276595745,0.3829787234042553,0.3404255319148936,0.2127659574468085,0.5106382978723404
Houston,3,product_chem_tanker,230,0.3739130434782609,0.30869565217391304,0.6173913043478261,0.5869565217391305,0.5173913043478261,0.3347826086956522,0.7304347826086957
Houston,4,container_ship,7,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857
Houston,5,crude_oil_tanker,54,0.6481481481481481,0.35185185185185186,0.2777777777777778,0.37037037037037035,0.3888888888888889,0.35185185185185186,0.6666666666666666
Houston,6,tug_towing,125,0.088,0.096,0.032,0.032,0.0,0.032,0.176
Houston,7,offshore_supply,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jebel Ali,0,bulk_carrier,1056,0.2897727272727273,0.5956439393939394,0.8607954545454546,0.8295454545454546,0.8797348484848485,0.8901515151515151,0.9166666666666666
Jebel Ali,1,fishing_vessel,25,0.64,0.64,0.48,0.64,0.56,0.6,0.64
Jebel Ali,2,general_cargo,757,0.35535006605019814,0.42668428005284015,0.44121532364597094,0.4332892998678996,0.42932628797886396,0.37912813738441214,0.6459709379128138
Jebel Ali,3,product_chem_tanker,1492,0.29892761394101874,0.19168900804289543,0.6950402144772118,0.20509383378016086,0.4343163538873995,0.18230563002680966,0.7654155495978552
Jebel Ali,4,container_ship,306,0.5196078431372549,0.47058823529411764,0.3006535947712418,0.47058823529411764,0.2777777777777778,0.43137254901960786,0.5686274509803921
Jebel Ali,5,crude_oil_tanker,335,0.6059701492537314,0.4925373134328358,0.21492537313432836,0.4925373134328358,0.26865671641791045,0.3940298507462687,0.6268656716417911
Jebel Ali,6,tug_towing,125,0.016,0.072,0.008,0.072,0.008,0.064,0.088
Jebel Ali,7,offshore_supply,506,0.3201581027667984,0.40118577075098816,0.029644268774703556,0.3932806324110672,0.007905138339920948,0.3893280632411067,0.4762845849802372
Los Angeles,0,bulk_carrier,92,0.17391304347826086,0.34782608695652173,0.967391304347826,0.967391304347826,0.967391304347826,0.967391304347826,0.967391304347826
Los Angeles,1,fishing_vessel,20,0.9,0.9,0.75,0.85,0.9,0.9,0.9
Los Angeles,2,general_cargo,36,0.1111111111111111,0.19444444444444445,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.19444444444444445
Los Angeles,3,product_chem_tanker,97,0.38144329896907214,0.3402061855670103,0.3402061855670103,0.35051546391752575,0.29896907216494845,0.24742268041237114,0.5567010309278351
Los Angeles,4,container_ship,65,0.6153846153846154,0.6307692307692307,0.36923076923076925,0.35384615384615387,0.3230769230769231,0.4461538461538462,0.7076923076923077
Los Angeles,5,crude_oil_tanker,215,0.6232558139534884,0.586046511627907,0.10232558139534884,0.2186046511627907,0.12558139534883722,0.32558139534883723,0.6465116279069767
Los Angeles,6,tug_towing,41,0.04878048780487805,0.04878048780487805,0.0,0.0,0.0,0.0,0.0975609756097561
Los Angeles,7,offshore_supply,17,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
Melbourne,0,bulk_carrier,43,0.4186046511627907,0.5348837209302325,0.8837209302325582,0.5348837209302325,0.6744186046511628,0.627906976744186,0.9534883720930233
Melbourne,1,fishing_vessel,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Melbourne,2,general_cargo,19,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.3684210526315789
Mombasa,0,bulk_carrier,82,0.3902439024390244,0.5853658536585366,0.9146341463414634,0.6097560975609756,0.7317073170731707,0.7439024390243902,0.9634146341463414
Mombasa,1,fishing_vessel,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mombasa,2,general_cargo,42,0.42857142857142855,0.47619047619047616,0.30952380952380953,0.47619047619047616,0.4523809523809524,0.47619047619047616,0.5952380952380952
Mombasa,3,product_chem_tanker,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
