port,class,class_name,n,ridge_V,ridge_VK,gbm_zk,gate_old,gate_new,gate_new_theta,oracle3
Antwerp-Bruges,0,bulk_carrier,208,0.44711538461538464,0.6153846153846154,0.9951923076923077,0.9903846153846154,0.9951923076923077,0.9951923076923077,0.9951923076923077
Antwerp-Bruges,1,fishing_vessel,190,0.8052631578947368,0.8631578947368421,0.9315789473684211,0.9263157894736842,0.9473684210526315,0.9473684210526315,0.968421052631579
Antwerp-Bruges,2,general_cargo,488,0.42008196721311475,0.5430327868852459,0.5901639344262295,0.5778688524590164,0.6372950819672131,0.6454918032786885,0.7520491803278688
Busan,0,bulk_carrier,204,0.3137254901960784,0.4166666666666667,0.9411764705882353,0.9117647058823529,0.946078431372549,0.9264705882352942,0.9558823529411765
Busan,1,fishing_vessel,351,0.7521367521367521,0.7350427350427351,0.8262108262108262,0.8148148148148148,0.8404558404558404,0.7806267806267806,0.8689458689458689
Busan,2,general_cargo,316,0.3449367088607595,0.3512658227848101,0.25949367088607594,0.28164556962025317,0.5284810126582279,0.4620253164556962,0.5949367088607594
Callao,0,bulk_carrier,111,0.07207207207207207,0.06306306306306306,0.5585585585585585,0.5585585585585585,0.5855855855855856,0.5765765765765766,0.5855855855855856
Callao,1,fishing_vessel,192,0.4895833333333333,0.34375,0.2916666666666667,0.3072916666666667,0.4583333333333333,0.3802083333333333,0.5364583333333334
Callao,2,general_cargo,47,0.0851063829787234,0.44680851063829785,0.2765957446808511,0.2765957446808511,0.44680851063829785,0.425531914893617,0.5106382978723404
Callao,3,product_chem_tanker,59,0.3728813559322034,0.4915254237288136,0.7966101694915254,0.7796610169491526,0.5084745762711864,0.559322033898305,0.7966101694915254
Callao,4,container_ship,21,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.6190476190476191
Callao,5,crude_oil_tanker,16,0.5625,0.5625,0.25,0.25,0.4375,0.4375,0.5625
Callao,6,tug_towing,19,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
Callao,7,offshore_supply,11,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365
Fujairah,0,bulk_carrier,956,0.32217573221757323,0.44037656903765693,0.6401673640167364,0.6140167364016736,0.6443514644351465,0.6485355648535565,0.7845188284518828
Fujairah,1,fishing_vessel,40,0.425,0.4,0.6,0.55,0.65,0.6,0.65
