fold,pseudo_target,n_eval,enabled_dims,A0_acc,A0_ba,A1_acc,A1_ba,A2_acc,A2_ba,rescue_A1_vs_A0,harm_A1_vs_A0
Rotterdam,Qingdao,1588,"[0, 1, 2, 3]",0.23992443324937027,0.3182995919989482,0.276448362720403,0.3513293913549259,0.26385390428211586,0.3257115883286607,68,10
Shanghai,Qingdao,1451,"[0, 1, 3]",0.39145416953824946,0.5606081708449396,0.35630599586492073,0.5428505106778088,0.37215713301171605,0.5838440111420613,18,69
Fujairah,Shanghai,1094,"[0, 1, 2, 3]",0.4186471663619744,0.34372077221244374,0.41042047531992687,0.33012445668914636,0.41590493601462525,0.3342867196828073,3,12
JebelAli,Shanghai,865,"[0, 1, 2, 3]",0.5710982658959538,0.4912365473314298,0.5710982658959538,0.4933438270249164,0.5653179190751445,0.49161968909388193,4,4
PortSaid,Shanghai,1094,"[0, 1, 2, 3]",0.4040219378427788,0.3394316739895337,0.4040219378427788,0.3357778450291717,0.4031078610603291,0.34411947288852274,17,17
